Class Code,Subject Name
10ATA12,10 Art A
10ATA13,10 Art A
10ATB1,10 Art B
10DEA11,10 Design A
10DEA13,10 Design
10DEB1,10 Design
10DP11,10 Digital Photo
10DP12,10 Digital Photo
10EG1,10 Eng Studies
10EG2,10 Eng Studies
10EG3,10 Eng Studies
10EG4,10 Eng Communications
10EG5,10 Eng Communications
10EG6,10 Eng Communications
10EG7,10 Eng Literacy
10ESL,10 ESL
10HEA11,10 Health
10HEA12,10 Health
10HEA13,10 Health
10HEA14,10 Health
10HEA21,10 Health
10HEA22,10 Health
10HEA23,10 Health
10HEAA1,10 Health
10HEAA11,10 Health
10HEAA12,10 Health
10HEAA13,10 Health
10HEAA15,10 Health
10HEAA16,10 Health
10HEAA2,10 Health
10HEAA3,10 Health
10HEAA4,10 Health
10HEAA5,10 Health
10HEC1,10 Child Studies
10HEC11,10 Child Studies
10HEC2,10 Child Studies
10HEF11,10 Chef's Applications
10HEF12,10 Chef's Applications
10HEF13,10 Chef's Applications
10HEF4,10 Chef's Applications
10HGA1,10 Home Group
10HGA6,10 Home Group
10HGCQ,10 Home Group
10HGH1,10 Home Group
10HGH2,10 Home Group
10HGL1,10 Home Group
10HGT8,10 Home Group
10HGW1,10 Home Group
10ITA11,10 Info Tech
10ITB21,10 Info Tech
10JPA12,10 Japanese
10JPB1,10 Japanese
10MA8,10 Maths
10MAA1,10 Maths Advanced
10MAA2,10 Maths Advanced
10MAE1,10 Maths Essentials
10MAE2,10 Maths Essentials
10MAE3,10 Maths Studies
10MAE4,10 Maths Studies
10MAG1,10 Maths General
10MAG2,10 Maths General
10MAG3,10 Maths General
10MUA11,10 Music
10MUA12,10 Music
10MUB1,10 Music
10MW11,10 Metalwork
10MW12,10 Metalwork
10MW2,10 Metalwork
10PEA11,10 Physical Education
10PEA12,10 Physical Education
10PEA13,10 Physical Education
10PEB21,10 Physical Education
10PEB22,10 Physical Education
10PEB24,10 Physical Education
10PEG1,10 PE for Girls
10PEG11,10 PE for Girls
10PLP11,10 Personal Learning Plan
10PLP12,10 Personal Learning Plan
10PLP13,10 Personal Learning Plan
10PLP21,10 Personal Learning Plan
10PLP22,10 Personal Learning Plan
10PLP23,10 Personal Learning Plan
10PLP24,10 Personal Learning Plan
10PLP25,10 Personal Learning Plan
10SCAA1,10 Science Advanced
10SCAA2,10 Science Advanced
10SCAS1,10 Science Standard
10SCAS2,10 Science Standard
10SCBA1,10 Science Advanced
10SCBA2,10 Science Advanced
10SCBS1,10 Science Standard
10SCBS2,10 Science Standard
10SE1,10 Sport Education
10SE11,10 Sport Education
10SEB11,10 Sport Ed B/Ball
10SVA1,10 Humanities
10SVA2,10 Humanities
10SVA3,10 Humanities
10SVA4,10 Humanities
10SVB1,10 Humanities
10SVB2,10 Humanities
10SVB3,10 Humanities
10SVB4,10 Humanities
10TFA11,10 Fashion & Design
10TGA11,10 Tech Graphics/CAD
10VETA1,10 VET A
10VETA2,10 VET A
10VETB1,10 VET B
10VETB2,10 VET B
10VETB3,10 VET B
10WW11,10 Woodwork
10WW12,10 Woodwork
10WW13,10 Woodwork
10WW4,10 Woodwork
10ZZA1,Support
10ZZA2,Support
10ZZA4,Support
10ZZB1,Support
10ZZB2,Support
10ZZB3,Support
10ZZZA1,Study
10ZZZA11,Study
10ZZZA12,Study
10ZZZA13,Study
10ZZZA2,Study
10ZZZB1,Study
10ZZZB2,Study
10ZZZB3,Study
11 CT,11 Class Teacher
11 CTA1,11 Class Teacher
11AHA1,11 History
11AHA2,11 History
11ATA1,11 Art
11ATA2,11 Art
11ATB2,11 Art
11BLA1,11 Biology A
11BLA2,11 Biology A
11BLA3,11 Biology A
11BLB1,11 Biology
11BLB2,11 Biology
11BLB3,11 Biology
11CHA1,11 Chemistry A
11CHA2,11 Chemistry A
11CHA3,11 Chemistry
11CHB1,11 Chemistry
11CHB2,11 Chemistry
11CSA1,11 Community St A
11CSA2,11 Community St A
11CSB,11 Community St B
11CT15,11 Class Teacher
11CT16,11 Class Teacher
11CT17,11 Class Teacher
11CT18,11 Class Teacher
11CT19,11 Class Teacher
11CT20,11 Class Teacher
11CT21,11 Class Teacher
11CTB2,11 Class Teacher B
11DPA,11 Digital Photography
11DPA1,11 Digital Photography
11DPA2,11 Digital Photography
11DRA1,11 Drawing
11DRA2,11 Drawing
11DSA2,11 Design
11DSB,11 Design
11DSB1,11 Design
11ECA1,11 English
11ECA2,11 English
11ECA3,11 English
11ECA4,11 English
11ECA5,11 English
11ECB1,11 English
11ECB2,11 English
11ECB3,11 English
11ECB4,11 English
11EPA1,11 English Essentials
11EPB,11 English Essentials
11EPB1,11 English Essentials
11ESA1,11 English St. A
11ESA2,11 English St. A
11ESA3,11 English Studies
11ESB1,11 English Studies
11ESB2,11 English Studies
11ESLA1,11 EAL
11ESLB,11 EAL
11ESLB1,11 ESL
11ET1,11 Energy Tech
11ETT2,11 Energy Tech
11GGA,11 Geography
11GGB,11 Geography
11GGB1,11 Geography
11GMA,11 German
11GMA1,11 German
11GMB,11 German
11HG15,11 Home Group
11HG16,11 Home Group
11HG17,11 Home Group
11HG18,11 Home Group
11HG19,11 Home Group
11HG20,11 Home Group
11HG21,11 Home Group
11HGFL0,HG FLO
11HSA1,11 Hospitality A
11HSA2,11 Hospitality A
11HSA3,11 Hospitality A
11HSB1,11 Hospitality
11HSB2,11 Hospitality
11HSB3,11 Hospitality
11IPA,11 Info Pro & Pub
11IPA2,11 Info Pro & Pub
11IPB1,11 Info Pro & Pub
11IPB2,11 Info Pro & Pub
11ISA1,11 Scientific St A
11ISB,11 Scientific St B
11ISB1,11 Scientific St B
11ITA,11 Info Tech
11ITA1,11 Info Tech
11ITB,11 Info Tech
11JPA2,11 Japanese
11JPB,11 Japanese B
11LGA1,11 Legal Studies A
11LGA2,11 Legal Studies A
11LGA3,11 Legal Studies
11LGB1,11 Legal Studies
11LGB2,11 Legal Studies
11MAA1,11 Maths General A
11MAA2,11 Maths General A
11MAA3,11 Maths General A
