Student ID,Report Class Code,Item Code,EnteredText
130257,11 Biology,Subject grade,B
130257,11 Biology,Subject grade 2,C
130257,11 Biology,Subject grade 3,B
130257,11 Chemistry,Subject grade,A
130257,11 Chemistry,Subject grade 2,B
130257,11 Chemistry,Subject grade 3,A
130257,11 English,Subject grade,B
130257,11 English,Subject grade 2,NA
130257,11 English,Subject grade 3,B
130257,11 Hospitality,Subject grade,C
130257,11 Hospitality,Subject grade 2,NA
130257,11 Hospitality,Subject grade 3,C
130257,11 Maths Studies 3,Subject grade,A
130257,11 Maths Studies 3,Subject grade 2,B
130257,11 Maths Studies 3,Subject grade 3,A
130257,11 Maths Studies 4,Subject grade,B
130257,11 Maths Studies 4,Subject grade 2,C
130257,11 Maths Studies 4,Subject grade 3,C+
130258,11 Digital Photography,Subject grade,E
130258,11 Digital Photography,Subject grade 2,NA
130258,11 Digital Photography,Subject grade 3,B
130258,11 English Essentials,Subject grade,C+
130258,11 English Essentials,Subject grade 2,NA
130258,11 English Essentials,Subject grade 3,C+
130258,11 Maths Essentials,Subject grade,C
130258,11 Maths Essentials,Subject grade 2,D
130258,11 Maths Essentials,Subject grade 3,C
130258,11 Woodwork,Subject grade,C
130258,11 Woodwork,Subject grade 2,NA
130258,11 Woodwork,Subject grade 3,C
140005,11 Art,Subject grade,E
140005,11 Art,Subject grade 2,NA
140005,11 Art,Subject grade 3,E
140005,11 English,Subject grade,C
140005,11 English,Subject grade 2,NA
140005,11 English,Subject grade 3,C
140005,11 Legal Studies,Subject grade,C-
140005,11 Legal Studies,Subject grade 2,D
140005,11 Legal Studies,Subject grade 3,C
140005,11 Research Practices,Subject grade,C-
140005,11 Research Practices,Subject grade 2,NA
140005,11 Research Practices,Subject grade 3,C-
140005,11 Woodwork,Subject grade,C-
140005,11 Woodwork,Subject grade 2,NA
140005,11 Woodwork,Subject grade 3,C+
140006,11 Biology,Subject grade,C
140006,11 Biology,Subject grade 2,C+
140006,11 Biology,Subject grade 3,C
140006,11 English,Subject grade,C
140006,11 English,Subject grade 2,NA
140006,11 English,Subject grade 3,C
140006,11 Maths General,Subject grade,C+
140006,11 Maths General,Subject grade 2,B
140006,11 Maths General,Subject grade 3,C+
140006,11 Physical Education,Subject grade,C
140006,11 Physical Education,Subject grade 2,B
140006,11 Physical Education,Subject grade 3,C
140006,11 Research Practices,Subject grade,C
140006,11 Research Practices,Subject grade 2,NA
140006,11 Research Practices,Subject grade 3,C
140006,11 Sport & Recreation,Subject grade,B
140006,11 Sport & Recreation,Subject grade 2,NA
140006,11 Sport & Recreation,Subject grade 3,C+
140009,11 Design,Subject grade,B
140009,11 Design,Subject grade 2,NA
140009,11 Design,Subject grade 3,B
140009,11 Digital Photography,Subject grade,C+
140009,11 Digital Photography,Subject grade 2,NA
140009,11 Digital Photography,Subject grade 3,C
140009,11 English,Subject grade,B
140009,11 English,Subject grade 2,NA
140009,11 English,Subject grade 3,B
140009,11 Hospitality,Subject grade,B
140009,11 Hospitality,Subject grade 2,NA
140009,11 Hospitality,Subject grade 3,C+
140009,11 Maths Essentials,Subject grade,C-
140009,11 Maths Essentials,Subject grade 2,C
140009,11 Maths Essentials,Subject grade 3,C
140009,11 Woodwork,Subject grade,B
140009,11 Woodwork,Subject grade 2,NA
140009,11 Woodwork,Subject grade 3,B
140010,11 English,Subject grade,C
140010,11 English,Subject grade 2,NA
140010,11 English,Subject grade 3,C
140010,11 Info Pro & Pub,Subject grade,B
140010,11 Info Pro & Pub,Subject grade 2,NA
140010,11 Info Pro & Pub,Subject grade 3,C
140010,11 Legal Studies,Subject grade,D
140010,11 Legal Studies,Subject grade 2,D
140010,11 Legal Studies,Subject grade 3,C
140010,11 Maths General,Subject grade,C
140010,11 Maths General,Subject grade 2,E
140010,11 Maths General,Subject grade 3,D
140010,11 Physical Education,Subject grade,C
140010,11 Physical Education,Subject grade 2,E
140010,11 Physical Education,Subject grade 3,C
140010,11 Woodwork,Subject grade,B
140010,11 Woodwork,Subject grade 2,NA
140010,11 Woodwork,Subject grade 3,B
140011,11 Art,Subject grade,C
140011,11 Art,Subject grade 2,NA
140011,11 Art,Subject grade 3,C
140011,11 English,Subject grade,C
140011,11 English,Subject grade 2,NA
140011,11 English,Subject grade 3,C
140011,11 Hospitality,Subject grade,C+
140011,11 Hospitality,Subject grade 2,NA
140011,11 Hospitality,Subject grade 3,C+
140011,11 Maths Essentials,Subject grade,C-
140011,11 Maths Essentials,Subject grade 2,D
140011,11 Maths Essentials,Subject grade 3,C-
140011,11 Nutrition,Subject grade,C+
140011,11 Nutrition,Subject grade 2,NA
140011,11 Nutrition,Subject grade 3,C+
140011,11 Scientific St B,Subject grade,A
140011,11 Scientific St B,Subject grade 2,NA
140011,11 Scientific St B,Subject grade 3,A
140012,11 Biology,Subject grade,B
140012,11 Biology,Subject grade 2,A
140012,11 Biology,Subject grade 3,B
140012,11 Chemistry,Subject grade,B
140012,11 Chemistry,Subject grade 2,C-
140012,11 Chemistry,Subject grade 3,B
140012,11 English,Subject grade,B
140012,11 English,Subject grade 2,NA
140012,11 English,Subject grade 3,B
140012,11 Info Pro & Pub,Subject grade,B
140012,11 Info Pro & Pub,Subject grade 2,NA
140012,11 Info Pro & Pub,Subject grade 3,B
140012,11 Maths General,Subject grade,B
140012,11 Maths General,Subject grade 2,B
140012,11 Maths General,Subject grade 3,B
140012,11 Nutrition,Subject grade,A
140012,11 Nutrition,Subject grade 2,NA
140012,11 Nutrition,Subject grade 3,A
140013,11 Biology,Subject grade,B
140013,11 Biology,Subject grade 2,B
140013,11 Biology,Subject grade 3,C
140013,11 Energy Tech,Subject grade,B
140013,11 Energy Tech,Subject grade 2,NA
140013,11 Energy Tech,Subject grade 3,B
140013,11 English Essentials,Subject grade,C+
140013,11 English Essentials,Subject grade 2,NA
140013,11 English Essentials,Subject grade 3,C+
140013,11 Maths General,Subject grade,C
140013,11 Maths General,Subject grade 2,C
140013,11 Maths General,Subject grade 3,C+
140013,11 Music B,Subject grade,B
140013,11 Music B,Subject grade 2,B
140013,11 Music B,Subject grade 3,C+
140013,11 Physical Education,Subject grade,B
140013,11 Physical Education,Subject grade 2,B
140013,11 Physical Education,Subject grade 3,B
140014,11 Digital Photography,Subject grade,C+
140014,11 Digital Photography,Subject grade 2,NA
140014,11 Digital Photography,Subject grade 3,C-
140014,11 English,Subject grade,C
140014,11 English,Subject grade 2,NA
140014,11 English,Subject grade 3,C
140014,11 Hospitality,Subject grade,B
140014,11 Hospitality,Subject grade 2,NA
140014,11 Hospitality,Subject grade 3,C+
140014,11 Info Pro & Pub,Subject grade,C-
140014,11 Info Pro & Pub,Subject grade 2,NA
140014,11 Info Pro & Pub,Subject grade 3,C
140014,11 Maths General,Subject grade,C+
140014,11 Maths General,Subject grade 2,C
140014,11 Maths General,Subject grade 3,C+
140014,11 Sport & Recreation,Subject grade,B
140014,11 Sport & Recreation,Subject grade 2,NA
140014,11 Sport & Recreation,Subject grade 3,B
140016,11 Biology,Subject grade,B
140016,11 Biology,Subject grade 2,B
140016,11 Biology,Subject grade 3,B
140016,11 Chemistry,Subject grade,B
140016,11 Chemistry,Subject grade 2,C-
140016,11 Chemistry,Subject grade 3,B
140016,11 English,Subject grade,B
140016,11 English,Subject grade 2,NA
140016,11 English,Subject grade 3,B
140016,11 History,Subject grade,C+
140016,11 History,Subject grade 2,C+
140016,11 History,Subject grade 3,B
140016,11 Legal Studies,Subject grade,B
140016,11 Legal Studies,Subject grade 2,B
140016,11 Legal Studies,Subject grade 3,B
140016,11 Maths Studies 3,Subject grade,B
140016,11 Maths Studies 3,Subject grade 2,C
140016,11 Maths Studies 3,Subject grade 3,B
140017,11 English Essentials,Subject grade,C
140017,11 English Essentials,Subject grade 2,NA
140017,11 English Essentials,Subject grade 3,C
140017,11 Hospitality,Subject grade,C
140017,11 Hospitality,Subject grade 2,NA
140017,11 Hospitality,Subject grade 3,C
140017,11 Legal Studies,Subject grade,C
140017,11 Legal Studies,Subject grade 2,D
140017,11 Legal Studies,Subject grade 3,B
140017,11 Maths Essentials,Subject grade,C
140017,11 Maths Essentials,Subject grade 2,C
140017,11 Maths Essentials,Subject grade 3,C
140017,11 Scientific St B,Subject grade,C
140017,11 Scientific St B,Subject grade 2,NA
140017,11 Scientific St B,Subject grade 3,C
140017,11 Woodwork,Subject grade,B
140017,11 Woodwork,Subject grade 2,NA
140017,11 Woodwork,Subject grade 3,B
140018,11 Biology,Subject grade,B
140018,11 Biology,Subject grade 2,C+
140018,11 Biology,Subject grade 3,B
140018,11 Chemistry,Subject grade,B
140018,11 Chemistry,Subject grade 2,C-
140018,11 Chemistry,Subject grade 3,B
140018,11 Energy Tech,Subject grade,C
140018,11 Energy Tech,Subject grade 2,NA
140018,11 Energy Tech,Subject grade 3,C
140018,11 English Studies,Subject grade,B
140018,11 English Studies,Subject grade 2,B
140018,11 English Studies,Subject grade 3,B
140018,11 Maths Studies 3,Subject grade,B
140018,11 Maths Studies 3,Subject grade 2,B
140018,11 Maths Studies 3,Subject grade 3,B
140018,11 Physics,Subject grade,B
140018,11 Physics,Subject grade 2,C
140018,11 Physics,Subject grade 3,B
140019,11 Biology,Subject grade,C
140019,11 Biology,Subject grade 2,D
140019,11 Biology,Subject grade 3,C+
140019,11 Digital Photography,Subject grade,B
140019,11 Digital Photography,Subject grade 2,NA
140019,11 Digital Photography,Subject grade 3,B
140019,11 English Studies,Subject grade,B
140019,11 English Studies,Subject grade 2,B
140019,11 English Studies,Subject grade 3,A
140019,11 History,Subject grade,A
140019,11 History,Subject grade 2,B
140019,11 History,Subject grade 3,A
140019,11 Legal Studies,Subject grade,A
140019,11 Legal Studies,Subject grade 2,B
140019,11 Legal Studies,Subject grade 3,A
140019,11 Maths General,Subject grade,B
140019,11 Maths General,Subject grade 2,B
140019,11 Maths General,Subject grade 3,B
140020,11 Energy Tech,Subject grade,C
140020,11 Energy Tech,Subject grade 2,NA
140020,11 Energy Tech,Subject grade 3,C
140020,11 English,Subject grade,C+
140020,11 English,Subject grade 2,NA
140020,11 English,Subject grade 3,B
140020,11 Hospitality,Subject grade,C+
140020,11 Hospitality,Subject grade 2,NA
140020,11 Hospitality,Subject grade 3,C+
140020,11 Maths General,Subject grade,B
140020,11 Maths General,Subject grade 2,C
140020,11 Maths General,Subject grade 3,B
140020,11 Metalwork,Subject grade,B
140020,11 Metalwork,Subject grade 2,NA
140020,11 Metalwork,Subject grade 3,B
140020,11 Music B,Subject grade,C+
140020,11 Music B,Subject grade 2,B
140020,11 Music B,Subject grade 3,C+
140022,11 Biology,Subject grade,B
140022,11 Biology,Subject grade 2,B
140022,11 Biology,Subject grade 3,B
140022,11 Chemistry,Subject grade,C
140022,11 Chemistry,Subject grade 2,E
140022,11 Chemistry,Subject grade 3,C+
140022,11 English Studies,Subject grade,C+
140022,11 English Studies,Subject grade 2,B
140022,11 English Studies,Subject grade 3,C+
140022,11 History,Subject grade,C+
140022,11 History,Subject grade 2,C
140022,11 History,Subject grade 3,B
140022,11 Hospitality,Subject grade,B
140022,11 Hospitality,Subject grade 2,NA
140022,11 Hospitality,Subject grade 3,B
140022,11 Maths General,Subject grade,B
140022,11 Maths General,Subject grade 2,B
140022,11 Maths General,Subject grade 3,B
140023,11 Biology,Subject grade,A
140023,11 Biology,Subject grade 2,A
140023,11 Biology,Subject grade 3,A
140023,11 Chemistry,Subject grade,A
140023,11 Chemistry,Subject grade 2,B
140023,11 Chemistry,Subject grade 3,B
140023,11 Energy Tech,Subject grade,A
140023,11 Energy Tech,Subject grade 2,NA
140023,11 Energy Tech,Subject grade 3,A
140023,11 English,Subject grade,A
140023,11 English,Subject grade 2,NA
140023,11 English,Subject grade 3,A
140023,11 Legal Studies,Subject grade,A
140023,11 Legal Studies,Subject grade 2,B
140023,11 Legal Studies,Subject grade 3,A
140023,11 Maths Studies 3,Subject grade,B
140023,11 Maths Studies 3,Subject grade 2,C+
140023,11 Maths Studies 3,Subject grade 3,B
140024,11 Biology,Subject grade,B
140024,11 Biology,Subject grade 2,C
140024,11 Biology,Subject grade 3,B
140024,11 Chemistry,Subject grade,B
140024,11 Chemistry,Subject grade 2,B
140024,11 Chemistry,Subject grade 3,B
140024,11 English,Subject grade,B
140024,11 English,Subject grade 2,NA
140024,11 English,Subject grade 3,B
140024,11 Maths Studies 3,Subject grade,A
140024,11 Maths Studies 3,Subject grade 2,C+
